Record Time,1st trip from,1st trip to,1st trip cost,2nd trip from,2nd trip to,2nd trip cost,total cost
2022-05-27 18:50:31.500512,GRU,DTW,none,ABQ,ADW,none,flights/airport not found
2022-05-27 18:50:33.519074,GRU,DTW,none,ABQ,AFW,none,flights/airport not found
2022-05-27 18:50:39.870909,GRU,DTW,none,ABQ,AGS,none,flights/airport not found
2022-05-27 18:51:17.680713,GRU,DTW,1896.0,ABQ,AMA,1896.0,"$1,895.42"
2022-05-27 18:52:09.041597,GRU,DTW,1286.0,ABQ,ATL,1286.0,"$1,285.21"
2022-05-27 18:52:50.130326,GRU,DTW,1332.0,ABQ,AUS,1332.0,"$1,331.87"
2022-05-27 18:53:34.438785,GRU,DTW,1094.0,ABQ,AVL,1094.0,"$1,093.74"
2022-05-27 18:53:36.798616,GRU,DTW,none,ABQ,BAB,none,flights/airport not found
2022-05-27 18:53:43.432042,GRU,DTW,none,ABQ,BAD,none,flights/airport not found
2022-05-27 18:54:29.870256,GRU,DTW,1161.0,ABQ,BDL,1161.0,"$1,160.93"
2022-05-27 18:54:31.858286,GRU,DTW,none,ABQ,BFI,none,flights/airport not found
2022-05-27 18:55:27.298340,GRU,DTW,1302.0,ABQ,BGR,1302.0,"$1,301.06"
2022-05-27 18:56:15.164301,GRU,DTW,1296.0,ABQ,BHM,1296.0,"$1,295.73"
2022-05-27 18:56:50.196839,GRU,DTW,1823.0,ABQ,BIL,1823.0,"$1,822.48"
2022-05-27 18:56:52.764133,GRU,DTW,none,ABQ,BLV,none,flights/airport not found
2022-05-27 18:56:59.038695,GRU,DTW,none,ABQ,BMI,none,flights/airport not found
2022-05-27 18:57:49.768989,GRU,DTW,1162.0,ABQ,BNA,1102.0,"$1,101.94"
2022-05-27 18:58:26.842867,GRU,DTW,1825.0,ABQ,BOI,1825.0,"$1,824.70"
2022-05-27 18:59:21.604745,GRU,DTW,996.0,ABQ,BOS,996.0,$995.28
2022-05-27 19:00:05.215966,GRU,DTW,1141.0,ABQ,BUF,1141.0,"$1,140.40"
2022-05-27 19:00:47.227380,GRU,DTW,1244.0,ABQ,BWI,1244.0,"$1,243.64"
2022-05-27 19:01:26.268997,GRU,DTW,1207.0,ABQ,CAE,1207.0,"$1,206.89"
2022-05-27 19:01:27.977275,GRU,DTW,none,ABQ,CBM,none,flights/airport not found
2022-05-27 19:02:06.492191,GRU,DTW,1135.0,ABQ,CHA,1135.0,"$1,134.05"
2022-05-27 19:02:47.981059,GRU,DTW,1091.0,ABQ,CHS,1091.0,"$1,090.19"
2022-05-27 19:03:30.050169,GRU,DTW,1109.0,ABQ,CID,1109.0,"$1,108.36"
2022-05-27 19:04:15.398805,GRU,DTW,1183.0,ABQ,CLE,1166.0,"$1,165.55"
2022-05-27 19:04:56.661097,GRU,DTW,1302.0,ABQ,CLT,1302.0,"$1,301.39"
2022-05-27 19:05:44.366880,GRU,DTW,1050.0,ABQ,CMH,1050.0,"$1,049.01"
2022-05-27 19:06:16.628093,GRU,DTW,1887.0,ABQ,COS,1887.0,"$1,886.47"
2022-05-27 19:06:58.332144,GRU,DTW,1353.0,ABQ,CRP,1353.0,"$1,352.59"
2022-05-27 19:07:41.047905,GRU,DTW,1215.0,ABQ,CRW,1215.0,"$1,214.44"
2022-05-27 19:08:25.621780,GRU,DTW,1198.0,ABQ,CVG,1151.0,"$1,150.50"
2022-05-27 19:08:27.603134,GRU,DTW,none,ABQ,CVS,none,flights/airport not found
2022-05-27 19:08:34.135173,GRU,DTW,none,ABQ,DAB,none,flights/airport not found
2022-05-27 19:08:41.048722,GRU,DTW,none,ABQ,DAL,none,flights/airport not found
2022-05-27 19:09:30.432282,GRU,DTW,1032.0,ABQ,DAY,1032.0,"$1,031.42"
2022-05-27 19:09:36.925139,GRU,DTW,none,ABQ,DBQ,none,flights/airport not found
2022-05-27 19:10:19.511928,GRU,DTW,1486.0,ABQ,DCA,1486.0,"$1,485.38"
2022-05-27 19:10:58.728912,GRU,DTW,3198.0,ABQ,DEN,3198.0,"$3,197.14"
2022-05-27 19:11:35.801192,GRU,DTW,1551.0,ABQ,DFW,1551.0,"$1,550.48"
2022-05-27 19:11:37.788257,GRU,DTW,none,ABQ,DLF,none,flights/airport not found
2022-05-27 19:12:19.818090,GRU,DTW,1101.0,ABQ,DLH,1101.0,"$1,100.83"
2022-05-27 19:12:21.494596,GRU,DTW,none,ABQ,DOV,none,flights/airport not found
2022-05-27 19:13:00.711835,GRU,DTW,1197.0,ABQ,DSM,1197.0,"$1,196.99"
2022-05-27 19:13:42.976589,GRU,DTW,1272.0,ABQ,DTW,1272.0,"$1,271.21"
2022-05-27 19:13:45.115497,GRU,DTW,none,ABQ,DYS,none,flights/airport not found
2022-05-27 19:13:46.723053,GRU,DTW,none,ABQ,EDW,none,flights/airport not found
2022-05-27 19:13:48.347053,GRU,DTW,none,ABQ,END,none,flights/airport not found
2022-05-27 19:14:43.114402,GRU,DTW,1224.0,ABQ,ERI,1224.0,"$1,223.77"
2022-05-27 19:15:30.846600,GRU,DTW,1087.0,ABQ,EWR,1087.0,"$1,086.15"
2022-05-27 19:15:32.953457,GRU,DTW,none,ABQ,FFO,none,flights/airport not found
2022-05-27 19:16:15.264974,GRU,DTW,1112.0,ABQ,FLL,1112.0,"$1,111.98"
2022-05-27 19:16:22.023205,GRU,DTW,none,ABQ,FSM,none,flights/airport not found
2022-05-27 19:16:23.960103,GRU,DTW,none,ABQ,FTW,none,flights/airport not found
